time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-07 00:00:00+00:00,0,0,1,1
2025-01-09 00:00:00+00:00,0,0,5,2
2025-01-10 00:00:00+00:00,8,3,111,2
2025-01-11 00:00:00+00:00,1,1,0,0
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,1,1,11,2
2025-01-14 00:00:00+00:00,1,1,84,1
2025-01-15 00:00:00+00:00,3,2,24,1
2025-01-16 00:00:00+00:00,11,4,11,1
2025-01-17 00:00:00+00:00,3,3,5,1
2025-01-18 00:00:00+00:00,2,2,7,1
2025-01-19 00:00:00+00:00,1,1,0,0
2025-01-20 00:00:00+00:00,2,2,0,0
2025-01-21 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,3,2,6,1
2025-01-23 00:00:00+00:00,2,2,0,0
2025-01-24 00:00:00+00:00,1,1,1,1
2025-01-25 00:00:00+00:00,5,4,0,0
2025-01-26 00:00:00+00:00,4,3,0,0
2025-01-27 00:00:00+00:00,2,2,2,2
2025-01-28 00:00:00+00:00,1,1,1,1
